datetime,SC1,SC2,SC3,SC4,SC5
2016-08-16 09:00:00,102.75,182.79,248.7,249.63,250.62
2016-08-16 11:00:00,112.11,212.34,239.46,263.94,323.4
2016-08-16 13:00:00,58.6,169.96,210.44,148.36,212.01
2016-08-16 15:00:00,32.89,80.87,104.85,111.25,101.16
2016-08-17 11:00:00,122.56,363.89,438.07,569.09,716.93
2016-08-17 13:00:00,107.7,401.69,469.25,587.14,742.79
2016-08-17 15:00:00,103.38,395.07,531.0,659.8,815.99
2016-08-17 17:00:00,102.05,409.45,538.32,700.54,855.6
2016-08-17 19:00:00,107.66,403.45,539.25,770.44,930.39
2016-08-17 21:00:00,114.68,412.91,545.01,721.29,919.43
2016-08-17 23:00:00,102.71,389.69,566.01,760.32,910.64
2016-08-18 01:00:00,111.03,424.98,525.5,722.14,918.74
2016-08-18 03:00:00,109.97,321.3,392.78,483.03,709.35
2016-08-18 05:00:00,140.03,289.25,343.37,463.27,627.57
2016-08-18 07:00:00,122.19,289.06,348.32,424.62,616.57
2016-08-18 09:00:00,96.81,181.86,258.13,373.21,507.86
2016-08-18 11:00:00,160.58,299.22,339.18,450.08,629.53
2016-08-18 13:00:00,160.57,378.83,441.25,541.34,771.7
2016-08-18 15:00:00,172.66,419.77,496.87,627.09,970.28
2016-08-18 17:00:00,149.87,399.95,525.05,692.49,975.43
2016-08-18 19:00:00,165.02,372.87,466.79,614.35,722.56
2016-08-18 21:00:00,124.39,300.83,390.7,519.5,683.28
2016-08-18 23:00:00,130.01,291.97,362.93,475.69,650.26
2016-08-19 01:00:00,143.38,299.82,380.67,507.29,678.58
2016-08-19 03:00:00,183.71,335.15,388.07,500.23,631.72
2016-08-19 05:00:00,235.18,501.88,604.27,680.6,840.89
2016-08-19 07:00:00,209.26,445.15,610.85,786.78,985.49
2016-08-19 09:00:00,241.0,755.82,935.65,1107.17,1258.54
2016-08-19 11:00:00,274.44,708.52,1047.32,1189.96,1444.74
2016-08-19 13:00:00,241.47,515.93,782.5,1028.22,1274.1
2016-08-19 15:00:00,188.69,594.51,864.8,1167.3,1401.33
2016-08-19 17:00:00,244.02,878.29,1485.92,1996.07,2743.05
2016-08-19 19:00:00,296.26,1092.78,1572.72,1990.41,2596.33
2016-08-19 21:00:00,296.14,1006.06,1308.73,2093.8,3253.11
